mlid,ref_parent,path,title,Level
1,0,enterprise/home.shtml,enterprise suite,0
2,1,enterprise/sourcing-optimization.shtml,Sourcing Optimization,1
3,2,enterprise/import-compliance.shtml,Import compliance information,2
4,2,enterprise/landed-cost-calculation.shtml,Landed cost calculation,2
5,2,enterprise/sourcing-analysis.shtml,Sourcing analysis,2
6,1,enterprise/supplier-management.shtml,Supplier Management,1
7,6,enterprise/document-management.shtml,Document management,2
8,6,enterprise/import-product-classification-sm.shtml,Product classification and admissibility review,2
9,6,enterprise/purchase-order-management.shtml,Purchase order management,2
10,6,enterprise/supplier-solicitation.shtml,Supplier solicitation / compliance questionnaires,2
11,1,enterprise/transportation-management.shtml,Transportation Management,1
12,11,enterprise/contract-management.shtml,Contract and rate management,2
13,11,enterprise/carrier-selection.shtml,Carrier selection and booking,2
14,11,enterprise/freight-audit.shtml,Freight audit,2
15,1,enterprise/export-management.shtml,Export Management,1
16,15,enterprise/aes-filing.shtml,AES filing,2
17,15,enterprise/deemed-exports.shtml,Deemed exports,2
18,15,enterprise/export-document-management.shtml,Document management,2
19,15,enterprise/end-use-management.shtml,End-use management,2
20,15,enterprise/export-compliance.shtml,Export compliance,2
21,15,enterprise/freight-forwarder-collaboration.shtml,Freight forwarder collaboration,2
22,15,enterprise/itar.shtml,ITAR Compliance,2
23,15,enterprise/license-determination.shtml,License management,2
24,15,enterprise/export-product-classification.shtml,Product classification,2
25,15,enterprise/restricted-party-screening.shtml,Restricted party screening,2
26,1,enterprise/supply-chain-visibility.shtml,Supply Chain Visibility,1
27,26,enterprise/data-quality-management.shtml,Data quality management,2
28,26,enterprise/integrated-service-provider-network.shtml,Integrated service provider network,2
29,26,enterprise/performance-management.shtml,Performance management reporting,2
30,26,enterprise/order-and-shipment-visibility.shtml,Order and shipment Visibility,2
31,1,enterprise/import-management.shtml,Import Management,1
32,31,enterprise/import-document-management.shtml,Document management,2
33,31,enterprise/entry-management.shtml,Entry management,2
34,31,enterprise/landed-cost-calculation-im.shtml,Landed cost calculation,2
35,31,enterprise/post-entry-management.shtml,Post-entry actions,2
36,31,enterprise/import-product-classification.shtml,Product classification and admissibility review,2
37,31,enterprise/importer-security-filing.shtml,Security filing,2
38,1,enterprise/duty-management.shtml,Duty Management,1
39,38,enterprise/trade-agreements.shtml,Trade agreements,2
40,39,enterprise/bill-of-material-qualification.shtml,Bill of material qualification,3
41,39,enterprise/certificate-management.shtml,Certificate management,3
42,39,enterprise/product-claim-details.shtml,Product claim details and storage,3
43,39,enterprise/ta-supplier-solicitation.shtml,Supplier solicitation campaigns,3
44,39,enterprise/trade-agreement-identification.shtml,Trade agreement identification,3
45,38,enterprise/foreign-trade-zone.shtml,Foreign-trade zone,2
46,38,enterprise/china-trade-management.shtml,China trade management,2
47,0,mid-market/home.shtml,mid-market solutions,0
48,47,mid-market/sourcing-optimization.shtml,Sourcing Optimization,1
49,48,mid-market/import-compliance-information.shtml,Import compliance information,2
50,48,mid-market/landed-cost-calculation.shtml,Landed cost calculation,2
51,48,mid-market/sourcing-analysis.shtml,Sourcing analysis,2
52,47,mid-market/transportation-management.shtml,Transportation Management,1
53,52,mid-market/contract-management.shtml,Contract and rate management,2
54,52,mid-market/carrier-selection.shtml,Carrier selection and booking,2
55,52,mid-market/freight-audit.shtml,Freight audit,2
56,47,mid-market/export-management.shtml,Export Management,1
57,56,mid-market/aes-filing.shtml,AES filing,2
58,56,mid-market/deemed-exports.shtml,Deemed exports,2
59,56,mid-market/export-document-management.shtml,Document management,2
60,56,mid-market/end-use-management.shtml,End-use management,2
61,56,mid-market/export-compliance.shtml,Export compliance,2
62,56,mid-market/export-filing.shtml,Freight forwarder collaboration,2
63,56,mid-market/license-determination.shtml,License determination and  management,2
64,56,mid-market/export-product-classification.shtml,Product classification,2
65,56,mid-market/restricted-party-screening.shtml,Restricted party screening,2
66,47,mid-market/supply-chain-visibility.shtml,Supply Chain Visibility,1
67,66,mid-market/data-management.shtml,Data quality management,2
68,66,mid-market/integrated-service-provider-network.shtml,Integrated service provider network,2
69,66,mid-market/performance-management.shtml,Performance management reporting,2
70,66,mid-market/order-visibility.shtml,Order and shipment  visibility,2
71,0,global-knowledge.shtml,global knowledge®,0
72,71,global-knowledge.shtml,Global Trade Content - Global Knowledge,1
73,72,global-knowledge/dissemination-process.shtml,Content Collection, Interpretation, &amp; Dissemination Process,2
74,72,global-knowledge/trade-content-professionals.shtml,In-House Trade Content Professionals,2
75,71,global-knowledge/trade-regulatory-content.shtml,Depth &amp; Breadth of Trade Regulatory Content,1
76,75,global-knowledge/document-determination.shtml,Document Determination,2
